"No.","Time","Source","Destination","Protocol","Length","Info","RSSI"
"11","0.044356","ArubaNet_22:eb:40","ff:ff:7f:fb:ff:ff","802.11","229","Beacon frame, SN=1178, FN=6, Flags=........., BI=100[Malformed Packet]","-87 dBm"
"12","0.044455","ArubaNet_11:eb:41","Broadcast","802.11","234","Beacon frame, SN=1333, FN=11, Flags=........., BI=6912, SSID=tamulink-w\\357\\277[Packet size limited during capture]","-85 dBm"
"13","0.046463","ArubaNet_10:e0:41","Broadcast","802.11","234","Beacon frame, SN=1992, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-73 dBm"
"14","0.046574","ArubaNet_10:e0:42","Broadcast","802.11","236","Beacon frame, SN=1992, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-72 dBm"
"50","0.125294","32:5d:72:2a:4d:ee","fc:95:5e:01:ff:cd","802.11","180","Beacon frame, SN=3894, FN=12, Flags=.p.PR.FT.","-82 dBm"
"67","0.146883","ArubaNet_11:eb:40","Broadcast","802.11","229","Beacon frame, SN=2138, FN=0, Flags=........., BI=100, SSID=eduroa][Malformed Packet]","-85 dBm"
"68","0.148535","ArubaNet_10:e0:40","Broadcast","802.11","229","Beacon frame, SN=1993, FN=0, Flags=........C, BI=100, SSID=eduroam","-72 dBm"
"69","0.148655","ArubaNet_10:e0:41","Broadcast","802.11","234","Beacon frame, SN=1993, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-69 dBm"
"70","0.148816","ArubaNet_10:e0:42","Broadcast","802.11","236","Beacon frame, SN=1993, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-68 dBm"
"71","0.157477","ArubaNet_11:fd:a0","Broadcast","802.11","229","Beacon frame, SN=2146, FN=0, Flags=........C, BI=100, SSID=eduroam","-72 dBm"
"72","0.157588","ArubaNet_11:fd:a1","Broadcast","802.11","234","Beacon frame, SN=2146, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-72 dBm"
"73","0.157696","ArubaNet_11:fd:a2","Broadcast","802.11","236","Beacon frame, SN=2146, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-72 dBm"
"87","0.249377","ArubaNet_11:eb:42","Broadcast","802.11","236","Beacon frame, SN=4035, FN=0, Flags=........., BI=13813","-86 dBm"
"88","0.250938","ArubaNet_10:e0:40","Broadcast","802.11","229","Beacon frame, SN=1994, FN=0, Flags=........C, BI=100, SSID=eduroam","-74 dBm"
"89","0.251042","ArubaNet_10:e0:41","Broadcast","802.11","234","Beacon frame, SN=1994, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-74 dBm"
"90","0.251194","ArubaNet_10:e0:42","Broadcast","802.11","236","Beacon frame, SN=1994, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-74 dBm"
"91","0.260014","ArubaNet_11:fd:a0","Broadcast","802.11","229","Beacon frame, SN=2147, FN=0, Flags=........C, BI=100, SSID=eduroam","-70 dBm"
"92","0.260103","ArubaNet_11:fd:a1","Broadcast","802.11","234","Beacon frame, SN=2147, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-70 dBm"
"93","0.260213","ArubaNet_11:fd:a2","Broadcast","802.11","236","Beacon frame, SN=2147, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-70 dBm"
"94","0.351697","ArubaNet_11:eb:40","Broadcast","802.11","229","Beacon frame, SN=2140, FN=0, Flags=........C, BI=100, SSID=eduroam","-87 dBm"
"95","0.351797","ArubaNet_11:eb:41","Broadcast","802.11","234","Beacon frame, SN=2140, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-88 dBm"
"96","0.351907","ArubaNet_11:eb:42","Broadcast","802.11","236","Beacon frame, SN=2140, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-87 dBm"
"97","0.353448","ArubaNet_10:e0:40","Broadcast","802.11","229","Beacon frame, SN=1995, FN=0, Flags=........C, BI=100, SSID=eduroam","-73 dBm"
"98","0.353552","ArubaNet_10:e0:41","Broadcast","802.11","234","Beacon frame, SN=1995, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-73 dBm"
"99","0.353663","ArubaNet_10:e0:42","Broadcast","802.11","236","Beacon frame, SN=1995, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-73 dBm"
"108","0.362389","ArubaNet_11:fd:a0","Broadcast","802.11","229","Beacon frame, SN=2148, FN=0, Flags=........C, BI=100, SSID=eduroam","-68 dBm"
"109","0.362495","ArubaNet_11:fd:a1","Broadcast","802.11","234","Beacon frame, SN=2148, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-68 dBm"
"110","0.362605","ArubaNet_11:fd:a2","Broadcast","802.11","236","Beacon frame, SN=2148, FN=0, Flags=........., BI=100, SSID=tamulink-guest[Malformed Packet]","-58 dBm"
"149","0.454082","ArubaNet_11:eb:40","Broadcast","802.11","229","Beacon frame, SN=2141, FN=0, Flags=........C, BI=100, SSID=eduroam","-89 dBm"
"150","0.454184","ArubaNet_11:eb:41","Broadcast","802.11","234","Beacon frame, SN=2141, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-88 dBm"
"152","0.456419","ArubaNet_10:e0:41","Broadcast","802.11","234","Beacon frame, SN=1996, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-72 dBm"
"153","0.456520","ArubaNet_10:e0:42","Broadcast","802.11","236","Beacon frame, SN=1996, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-73 dBm"
"156","0.464781","ArubaNet_11:fd:a0","Broadcast","802.11","229","Beacon frame, SN=2149, FN=0, Flags=........C, BI=100, SSID=eduroam","-67 dBm"
"157","0.464886","ArubaNet_11:fd:a1","Broadcast","802.11","234","Beacon frame, SN=2149, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-67 dBm"
"158","0.464996","ArubaNet_11:fd:a2","Broadcast","802.11","236","Beacon frame, SN=2149, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-67 dBm"
"202","0.496591","ArubaNet_11:f1:42","Broadcast","802.11","236","Beacon frame, SN=2150, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-90 dBm"
"211","0.556518","ArubaNet_11:eb:41","Broadcast","802.11","234","Beacon frame, SN=2142, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-88 dBm"
"212","0.556785","ArubaNet_11:eb:42","Broadcast","802.11","236","Beacon frame, SN=2142, FN=0, Flags=........., BI=100, SSID=tamulink-guest","-86 dBm"
"213","0.558099","ArubaNet_10:e0:40","Broadcast","802.11","229","Beacon frame, SN=1997, FN=0, Flags=........C, BI=100, SSID=eduroam","-72 dBm"
"214","0.558207","ArubaNet_10:e0:41","Broadcast","802.11","234","Beacon frame, SN=1997, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-73 dBm"
"215","0.558314","ArubaNet_10:e0:42","Broadcast","802.11","236","Beacon frame, SN=1997, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-72 dBm"
"216","0.567192","ArubaNet_11:fd:a0","Broadcast","802.11","229","Beacon frame, SN=2150, FN=0, Flags=........C, BI=100, SSID=eduroam","-66 dBm"
"217","0.567313","ArubaNet_11:fd:a1","Broadcast","802.11","234","Beacon frame, SN=2150, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-66 dBm"
"218","0.567562","ArubaNet_11:fd:a2","Broadcast","802.11","236","Beacon frame, SN=2150, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-67 dBm"
"220","0.658787","ArubaNet_11:eb:40","Broadcast","802.11","229","Beacon frame, SN=2099, FN=5, Flags=........., BI=100, SSID=eduroam","-85 dBm"
"221","0.658848","ArubaNet_11:eb:41","Broadcast","802.11","234","Beacon frame, SN=2143, FN=0, Flags=........., BI=18143, SSID=\\032\\357\\277\\275Q\\033\\357\\277\\275\\357\\277\\275\\357\\277\\275\\000\\000\\000\\000\\000\\000\\000\\000\\000\\357\\277\\275\\037\\000\\000\\000\\000","-88 dBm"
"222","0.658953","ArubaNet_11:eb:42","Broadcast","802.11","236","Beacon frame, SN=2143, FN=0, Flags=........., BI=100, SSID=tamulink-guest","-87 dBm"
"223","0.660495","ArubaNet_10:e0:40","Broadcast","802.11","229","Beacon frame, SN=1998, FN=0, Flags=........C, BI=100, SSID=eduroam","-73 dBm"
"224","0.660599","ArubaNet_10:e0:41","Broadcast","802.11","234","Beacon frame, SN=1998, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-72 dBm"
"225","0.660749","ArubaNet_10:e0:42","Broadcast","802.11","236","Beacon frame, SN=1998, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-72 dBm"
"226","0.669540","ArubaNet_11:fd:a0","Broadcast","802.11","229","Beacon frame, SN=2151, FN=0, Flags=........C, BI=100, SSID=eduroam","-66 dBm"
"227","0.669719","ArubaNet_11:fd:a2","Broadcast","802.11","236","Beacon frame, SN=2151, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-66 dBm"
"265","0.761253","ArubaNet_11:eb:40","Broadcast","802.11","229","Beacon frame, SN=2144, FN=0, Flags=........C, BI=100, SSID=eduroam","-87 dBm"
"266","0.761356","ArubaNet_11:eb:41","Broadcast","802.11","234","Beacon frame, SN=2144, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-87 dBm"
"267","0.761467","ArubaNet_11:eb:42","Broadcast","802.11","236","Beacon frame, SN=2144, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-87 dBm"
"268","0.763419","ArubaNet_10:e0:41","Broadcast","802.11","234","Beacon frame, SN=1999, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-73 dBm"
"269","0.763518","ArubaNet_10:e0:42","Broadcast","802.11","236","Beacon frame, SN=1999, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-72 dBm"
"274","0.772815","ArubaNet_11:fd:a2","Broadcast","802.11","236","Beacon frame, SN=2152, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-63 dBm"
"288","0.803598","ArubaNet_11:f1:41","Broadcast","802.11","234","Beacon frame, SN=2153, FN=0, Flags=........., BI=100, SSID=tamulink-wpa","-90 dBm"
"340","0.863531","ArubaNet_11:eb:40","Broadcast","802.11","229","Beacon frame, SN=2145, FN=0, Flags=........., BI=100, SSID=eduroam","-88 dBm"
"341","0.863632","ArubaNet_11:eb:41","Broadcast","802.11","234","Beacon frame, SN=2145, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-86 dBm"
"342","0.863784","ArubaNet_11:eb:42","Broadcast","802.11","236","Beacon frame, SN=2145, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-87 dBm"
"343","0.865435","ArubaNet_10:e0:40","Broadcast","802.11","229","Beacon frame, SN=2000, FN=0, Flags=........C, BI=100, SSID=eduroam","-72 dBm"
"344","0.865541","ArubaNet_10:e0:41","Broadcast","802.11","234","Beacon frame, SN=2000, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-72 dBm"
