"No.","Time","Source","Destination","Protocol","Length","Info","RSSI"
"1","0.000000","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=815, FN=0, Flags=........C, BI=100, SSID=eduroam","-70 dBm"
"2","0.000067","ArubaNet_11:ef:71","Broadcast","802.11","239","Beacon frame, SN=815, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-70 dBm"
"3","0.000284","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=815, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-70 dBm"
"16","0.042394","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=834, FN=0, Flags=........C, BI=100, SSID=eduroam","-73 dBm"
"17","0.042538","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=834, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-73 dBm"
"18","0.042831","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=834, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-73 dBm"
"38","0.102452","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=816, FN=0, Flags=........C, BI=100, SSID=eduroam","-70 dBm"
"39","0.102550","ArubaNet_11:ef:71","Broadcast","802.11","239","Beacon frame, SN=816, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-70 dBm"
"40","0.102815","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=816, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-69 dBm"
"50","0.145025","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=835, FN=0, Flags=........C, BI=100, SSID=eduroam","-73 dBm"
"51","0.145092","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=835, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-73 dBm"
"52","0.145197","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=835, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-73 dBm"
"69","0.205012","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=817, FN=0, Flags=........C, BI=100, SSID=eduroam","-69 dBm"
"70","0.205111","ArubaNet_11:ef:71","Broadcast","802.11","239","Beacon frame, SN=817, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-69 dBm"
"71","0.205340","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=817, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-69 dBm"
"78","0.247381","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=836, FN=0, Flags=........C, BI=100, SSID=eduroam","-73 dBm"
"79","0.247503","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=836, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-73 dBm"
"80","0.247608","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=836, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-72 dBm"
"113","0.307369","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=818, FN=0, Flags=........C, BI=100, SSID=eduroam","-69 dBm"
"114","0.307468","ArubaNet_11:ef:71","Broadcast","802.11","239","Beacon frame, SN=818, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-69 dBm"
"115","0.307731","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=818, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-69 dBm"
"121","0.349629","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=837, FN=0, Flags=........C, BI=100, SSID=eduroam","-73 dBm"
"122","0.349736","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=837, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-73 dBm"
"123","0.349939","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=837, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-72 dBm"
"146","0.409786","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=819, FN=0, Flags=........C, BI=100, SSID=eduroam","-69 dBm"
"147","0.409891","ArubaNet_11:ef:71","Broadcast","802.11","239","Beacon frame, SN=819, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-69 dBm"
"148","0.410046","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=819, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-69 dBm"
"159","0.452018","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=838, FN=0, Flags=........C, BI=100, SSID=eduroam","-73 dBm"
"160","0.452117","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=838, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-73 dBm"
"161","0.452326","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=838, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-73 dBm"
"194","0.511982","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=820, FN=0, Flags=........C, BI=100, SSID=eduroam","-69 dBm"
"195","0.512047","ArubaNet_11:ef:71","Broadcast","802.11","239","Beacon frame, SN=820, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-69 dBm"
"196","0.512246","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=820, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-69 dBm"
"235","0.554344","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=839, FN=0, Flags=........C, BI=100, SSID=eduroam","-73 dBm"
"236","0.554583","ArubaNet_11:fc:f1","Broadcast","802.11","238","Beacon frame, SN=839, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-73 dBm"
"237","0.554642","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=839, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-73 dBm"
"275","0.614557","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=821, FN=0, Flags=........C, BI=100, SSID=eduroam","-69 dBm"
"276","0.614656","ArubaNet_11:ef:71","Broadcast","802.11","239","Beacon frame, SN=821, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-69 dBm"
"277","0.614873","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=821, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-69 dBm"
"292","0.656923","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=840, FN=0, Flags=........C, BI=100, SSID=eduroam","-73 dBm"
"293","0.656991","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=840, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-73 dBm"
"294","0.657094","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=840, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-73 dBm"
"318","0.716905","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=822, FN=0, Flags=........C, BI=100, SSID=eduroam","-70 dBm"
"319","0.717025","ArubaNet_11:ef:71","Broadcast","802.11","239","Beacon frame, SN=822, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-70 dBm"
"320","0.717226","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=822, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-70 dBm"
"326","0.759319","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=841, FN=0, Flags=........C, BI=100, SSID=eduroam","-73 dBm"
"327","0.759445","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=841, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-73 dBm"
"328","0.759550","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=841, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-73 dBm"
"357","0.819266","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=823, FN=0, Flags=........C, BI=100, SSID=eduroam","-70 dBm"
"358","0.819435","ArubaNet_11:ef:71","Broadcast","802.11","239","Beacon frame, SN=823, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-70 dBm"
"359","0.819632","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=823, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-70 dBm"
"371","0.861777","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=842, FN=0, Flags=........C, BI=100, SSID=eduroam","-74 dBm"
