"No.","Time","Source","Destination","Protocol","Length","Info","RSSI"
"8","0.031127","ArubaNet_11:eb:b0","Broadcast","802.11","232","Beacon frame, SN=1001, FN=0, Flags=........C, BI=100, SSID=eduroam","-83 dBm"
"9","0.039352","ArubaNet_11:ec:f0","Broadcast","802.11","232","Beacon frame, SN=856, FN=0, Flags=........C, BI=100, SSID=eduroam","-70 dBm"
"10","0.039468","ArubaNet_11:ec:f1","Broadcast","802.11","237","Beacon frame, SN=856, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-70 dBm"
"11","0.039806","ArubaNet_11:ec:f2","Broadcast","802.11","239","Beacon frame, SN=856, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-70 dBm"
"13","0.052181","ArubaNet_11:f9:70","Broadcast","802.11","232","Beacon frame, SN=995, FN=0, Flags=........C, BI=100, SSID=eduroam","-77 dBm"
"14","0.052285","ArubaNet_11:f9:71","Broadcast","802.11","237","Beacon frame, SN=995, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-77 dBm"
"15","0.052393","ArubaNet_11:f9:72","Broadcast","802.11","239","Beacon frame, SN=995, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-77 dBm"
"16","0.133523","ArubaNet_11:eb:b0","Broadcast","802.11","232","Beacon frame, SN=1002, FN=0, Flags=........C, BI=100, SSID=eduroam","-83 dBm"
"17","0.133623","ArubaNet_11:eb:b1","Broadcast","802.11","237","Beacon frame, SN=1002, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-83 dBm"
"18","0.133739","ArubaNet_11:eb:b2","Broadcast","802.11","239","Beacon frame, SN=1002, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-83 dBm"
"19","0.141995","ArubaNet_11:ec:f0","Broadcast","802.11","232","Beacon frame, SN=857, FN=0, Flags=........C, BI=100, SSID=eduroam","-69 dBm"
"20","0.142184","ArubaNet_11:ec:f1","Broadcast","802.11","237","Beacon frame, SN=857, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-70 dBm"
"21","0.142815","ArubaNet_11:ec:f2","Broadcast","802.11","239","Beacon frame, SN=857, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-70 dBm"
"22","0.154668","ArubaNet_11:f9:70","Broadcast","802.11","232","Beacon frame, SN=996, FN=0, Flags=........C, BI=100, SSID=eduroam","-77 dBm"
"23","0.154791","ArubaNet_11:f9:71","Broadcast","802.11","237","Beacon frame, SN=996, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-77 dBm"
"24","0.154958","ArubaNet_11:f9:72","Broadcast","802.11","239","Beacon frame, SN=996, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-77 dBm"
"36","0.236245","ArubaNet_11:eb:b1","Broadcast","802.11","237","Beacon frame, SN=1003, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-82 dBm"
"37","0.236356","ArubaNet_11:eb:b2","Broadcast","802.11","239","Beacon frame, SN=1003, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-83 dBm"
"38","0.244252","ArubaNet_11:ec:f0","Broadcast","802.11","232","Beacon frame, SN=858, FN=0, Flags=........C, BI=100, SSID=eduroam","-70 dBm"
"39","0.244357","ArubaNet_11:ec:f1","Broadcast","802.11","237","Beacon frame, SN=858, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-70 dBm"
"40","0.244571","ArubaNet_11:ec:f2","Broadcast","802.11","239","Beacon frame, SN=858, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-70 dBm"
"41","0.257121","ArubaNet_11:f9:70","Broadcast","802.11","232","Beacon frame, SN=997, FN=0, Flags=........C, BI=100, SSID=eduroam","-77 dBm"
"42","0.257226","ArubaNet_11:f9:71","Broadcast","802.11","237","Beacon frame, SN=997, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-78 dBm"
"43","0.257341","ArubaNet_11:f9:72","Broadcast","802.11","239","Beacon frame, SN=997, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-77 dBm"
"53","0.338465","7e:12:45:9b:92:4d","a6:e9:8c:9b:fe:7f","802.11","232","Beacon frame, SN=1004, FN=1, Flags=o.mP..FT., BI=24148[Malformed Packet]","-83 dBm"
"55","0.338623","ArubaNet_11:eb:b2","Broadcast","802.11","239","Beacon frame, SN=1004, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-83 dBm"
"60","0.346653","ArubaNet_11:ec:f0","Broadcast","802.11","232","Beacon frame, SN=859, FN=0, Flags=........C, BI=100, SSID=eduroam","-69 dBm"
"61","0.346751","ArubaNet_11:ec:f1","Broadcast","802.11","237","Beacon frame, SN=859, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-70 dBm"
"62","0.346964","ArubaNet_11:ec:f2","Broadcast","802.11","239","Beacon frame, SN=859, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-70 dBm"
"64","0.359485","ArubaNet_11:f9:70","Broadcast","802.11","232","Beacon frame, SN=998, FN=0, Flags=........C, BI=100, SSID=eduroam","-77 dBm"
"65","0.359595","ArubaNet_11:f9:71","Broadcast","802.11","237","Beacon frame, SN=998, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-77 dBm"
