"No.","Time","Source","Destination","Protocol","Length","Info","RSSI"
"6","0.015810","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3873, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-66 dBm"
"7","0.015908","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=4009, FN=0, Flags=........C, BI=100, SSID=eduroam","-66 dBm"
"8","0.016011","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3983, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-66 dBm"
"16","0.118490","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3874, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-66 dBm"
"17","0.118589","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=4010, FN=0, Flags=........C, BI=100, SSID=eduroam","-66 dBm"
"18","0.118694","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3984, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-66 dBm"
"23","0.220784","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3875, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-66 dBm"
"24","0.220852","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=4011, FN=0, Flags=........C, BI=100, SSID=eduroam","-66 dBm"
"25","0.220955","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3985, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-66 dBm"
"46","0.323239","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3876, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-66 dBm"
"47","0.323332","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=4012, FN=0, Flags=........C, BI=100, SSID=eduroam","-66 dBm"
"48","0.323435","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3986, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-66 dBm"
"52","0.425685","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3877, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-66 dBm"
"53","0.425790","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=4013, FN=0, Flags=........C, BI=100, SSID=eduroam","-66 dBm"
"54","0.425894","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3987, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-66 dBm"
"63","0.476482","ArubaNet_11:f9:72","Broadcast","802.11","239","Beacon frame, SN=3786, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-90 dBm"
"64","0.476582","ArubaNet_11:f9:71","Broadcast","802.11","237","Beacon frame, SN=4013, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-90 dBm"
"70","0.527859","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3878, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-66 dBm"
"71","0.527923","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=4014, FN=0, Flags=........C, BI=100, SSID=eduroam","-66 dBm"
"72","0.528018","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3988, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-66 dBm"
"78","0.578702","ArubaNet_11:f9:72","Broadcast","802.11","239","Beacon frame, SN=3787, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-89 dBm"
"79","0.579006","ArubaNet_11:f9:71","Broadcast","802.11","237","Beacon frame, SN=4014, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-89 dBm"
"80","0.630439","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3879, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-64 dBm"
