Frame Number,Time Offset,Source,Destination,RSSI (dBm),Protocol Name,Description,
3,0.0576940,[1008B1 FB0511],[*BROADCAST],210 (0xD2),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 210 dBm, Rate = Unknown, SSID = BroadCast SSID",
4,0.0773293,[1008B1 FB0511],[*BROADCAST],210 (0xD2),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 210 dBm, Rate = Unknown, SSID = BroadCast SSID",
5,0.2357267,[24DEC6 11EF61],[*BROADCAST],210 (0xD2),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 210 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
6,0.2926809,[9801A7 951843],[*BROADCAST],210 (0xD2),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 210 dBm, Rate = Unknown, SSID = BroadCast SSID, Channel = 5",
7,0.3302507,[9801A7 951843],[*BROADCAST],210 (0xD2),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 210 dBm, Rate = Unknown, SSID = BroadCast SSID, Channel = 5",
8,0.3390014,[24DEC6 11EF61],[*BROADCAST],210 (0xD2),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 210 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
9,0.3757258,[9801A7 951843],[*BROADCAST],210 (0xD2),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 210 dBm, Rate = Unknown, SSID = BroadCast SSID, Channel = 6",
10,0.4133060,[9801A7 951843],[*BROADCAST],210 (0xD2),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 210 dBm, Rate = Unknown, SSID = BroadCast SSID, Channel = 6",
11,0.4405095,[24DEC6 11EF61],[*BROADCAST],210 (0xD2),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 210 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
12,0.4792525,[9801A7 951843],[*BROADCAST],210 (0xD2),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 210 dBm, Rate = Unknown, SSID = BroadCast SSID, Channel = 7",
13,0.5182157,[9801A7 951843],[*BROADCAST],210 (0xD2),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 210 dBm, Rate = Unknown, SSID = BroadCast SSID, Channel = 7",
14,0.5428815,[24DEC6 11EF61],[*BROADCAST],210 (0xD2),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 210 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
15,0.6009434,[9801A7 951843],[*BROADCAST],210 (0xD2),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 210 dBm, Rate = Unknown, SSID = BroadCast SSID, Channel = 8",
16,0.6453852,[24DEC6 11EF61],[*BROADCAST],210 (0xD2),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 210 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
17,0.8534739,[24DEC6 11EF61],[*BROADCAST],210 (0xD2),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 210 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
18,0.9526090,[24DEC6 11EF61],[*BROADCAST],210 (0xD2),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 210 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
19,1.0548043,[24DEC6 11EF61],[*BROADCAST],210 (0xD2),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 210 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
20,1.2597271,[24DEC6 11EF61],[*BROADCAST],210 (0xD2),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 210 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
21,1.3590379,[E48B7F D7773B],[*BROADCAST],210 (0xD2),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 210 dBm, Rate = Unknown, SSID = BroadCast SSID, Channel = 6",
22,1.3639662,[24DEC6 11EF61],[*BROADCAST],210 (0xD2),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 210 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
23,1.3825730,[E48B7F D7773B],[*BROADCAST],210 (0xD2),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 210 dBm, Rate = Unknown, SSID = BroadCast SSID, Channel = 7",
24,1.4645540,[24DEC6 11EF61],[*BROADCAST],210 (0xD2),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 210 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
