Frame Number,Time Offset,Source,Destination,RSSI (dBm),Protocol Name,Description,"This data was collected by rotating the laptop so that the keyboard faced down the hall. Otherwise, the original position was unaltered."
3,0.0317589,[24DEC6 11EF61],[*BROADCAST],234 (0xEA),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 234 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
4,0.1199618,[E48B7F D7773B],[*BROADCAST],234 (0xEA),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 234 dBm, Rate = Unknown, SSID = BroadCast SSID, Channel = 5",
5,0.1343400,[24DEC6 11EF61],[*BROADCAST],234 (0xEA),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 234 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
6,0.2366718,[24DEC6 11EF61],[*BROADCAST],234 (0xEA),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 234 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
7,0.3391575,[24DEC6 11EF61],[*BROADCAST],235 (0xEB),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 235 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
8,0.4414675,[24DEC6 11EF61],[*BROADCAST],235 (0xEB),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 235 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
9,0.5437950,[24DEC6 11EF61],[*BROADCAST],235 (0xEB),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 235 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
10,0.6496387,[24DEC6 11EF61],[*BROADCAST],235 (0xEB),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 235 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
11,0.7497509,[24DEC6 11EF61],[*BROADCAST],236 (0xEC),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 236 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
12,0.7550145,[F04F7C 1B02BC],[*BROADCAST],236 (0xEC),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 236 dBm, Rate = Unknown, SSID = BroadCast SSID",
13,0.7768189,[F04F7C 1B02BC],[*BROADCAST],236 (0xEC),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 236 dBm, Rate = Unknown, SSID = BroadCast SSID",
14,0.7878041,[F04F7C 1B02BC],[*BROADCAST],236 (0xEC),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 236 dBm, Rate = Unknown, SSID = BroadCast SSID",
15,0.7942861,[F04F7C 1B02BC],[*BROADCAST],236 (0xEC),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 236 dBm, Rate = Unknown, SSID = BroadCast SSID",
16,0.8051002,[F04F7C 1B02BC],[*BROADCAST],236 (0xEC),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 236 dBm, Rate = Unknown, SSID = BroadCast SSID",
17,0.8160922,[F04F7C 1B02BC],[*BROADCAST],236 (0xEC),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 236 dBm, Rate = Unknown, SSID = BroadCast SSID",
