Frame Number,Time Offset,Source,Destination,RSSI (dBm),Protocol Name,Description,"This data was collected in front of Room 167, in the middle of the hallway on the floor with the screen of the laptop facing toward the main entrance of Weisenbaker"
1,0.0493150,,,,NetmonFilter,NetmonFilter:Updated Capture Filter: None,
2,0.0493150,,,,NetworkInfoEx,"NetworkInfoEx:Network info for , Network Adapter Count = 1",
3,0.0493150,[24DEC6 11ECE1],[*BROADCAST],186 (0xBA),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 186 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
4,0.1480331,[F04F7C 1B02BC],[*BROADCAST],186 (0xBA),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 186 dBm, Rate = Unknown, SSID = BroadCast SSID",
5,0.1518713,[24DEC6 11ECE1],[*BROADCAST],185 (0xB9),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 185 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
6,0.1588955,[F04F7C 1B02BC],[*BROADCAST],185 (0xB9),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 185 dBm, Rate = Unknown, SSID = BroadCast SSID",
7,0.1808055,[F04F7C 1B02BC],[*BROADCAST],185 (0xB9),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 185 dBm, Rate = Unknown, SSID = BroadCast SSID",
8,0.1917163,[F04F7C 1B02BC],[*BROADCAST],185 (0xB9),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 185 dBm, Rate = Unknown, SSID = BroadCast SSID",
9,0.1981811,[F04F7C 1B02BC],[*BROADCAST],185 (0xB9),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 185 dBm, Rate = Unknown, SSID = BroadCast SSID",
10,0.2090803,[F04F7C 1B02BC],[*BROADCAST],185 (0xB9),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 185 dBm, Rate = Unknown, SSID = BroadCast SSID",
11,0.2200698,[F04F7C 1B02BC],[*BROADCAST],185 (0xB9),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 185 dBm, Rate = Unknown, SSID = BroadCast SSID",
12,0.2309532,[F04F7C 1B02BC],[*BROADCAST],185 (0xB9),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 185 dBm, Rate = Unknown, SSID = BroadCast SSID",
13,0.2419058,[F04F7C 1B02BC],[*BROADCAST],185 (0xB9),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 185 dBm, Rate = Unknown, SSID = BroadCast SSID",
14,0.2527785,[F04F7C 1B02BC],[*BROADCAST],185 (0xB9),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 185 dBm, Rate = Unknown, SSID = BroadCast SSID",
